stockSymbol, buyingPrice, buyingDate, sellingPrice, sellingDate, quantity, PnL, ReturnOnEquity, isTradeActive
PFC,84.5,2018-06-11 05:30:00.0,101.35,2018-11-16 05:30:00.0,118.34319,1994.082,19.94082,false
PFC,104.45,2019-10-23 05:30:00.0,127.2,2020-02-26 05:30:00.0,95.73959,2178.0762,21.780762,false
PFC,90.6,2020-06-22 05:30:00.0,117.5,2020-12-18 05:30:00.0,110.375275,2969.0947,29.690947,false
POWERGRID,99.5,2013-10-18 05:30:00.0,133.4,2014-06-13 05:30:00.0,100.50251,3407.0342,34.07034,false
POWERGRID,142.8,2015-07-22 05:30:00.0,173.4,2016-09-29 05:30:00.0,70.02801,2142.8564,21.428564,false
POWERGRID,198.55,2018-04-03 05:30:00.0,144.15,2020-03-18 05:30:00.0,50.365147,-2739.8643,-27.398643,false
PGHH,6247.3,2015-09-30 05:30:00.0,7499.8,2017-05-22 05:30:00.0,1.6006916,2004.8662,20.048662,false
PGHH,9570.35,2018-11-30 05:30:00.0,11729.15,2019-10-03 05:30:00.0,1.0448939,2255.7168,22.557169,false
PNB,495.75,2013-10-23 05:30:00.0,602.3,2014-01-07 05:30:00.0,20.171457,2149.2686,21.492685,false
PNB,166.65,2015-05-04 05:30:00.0,129.55,2015-09-02 05:30:00.0,60.006004,-2226.2222,-22.262222,false
PNB,140.15,2015-11-16 05:30:00.0,105.05,2016-01-07 05:30:00.0,71.35213,-2504.459,-25.04459,false
PNB,87.65,2016-04-01 05:30:00.0,131.15,2016-07-19 05:30:00.0,114.090126,4962.919,49.629192,false
PNB,91.7,2018-06-14 05:30:00.0,69.2,2018-09-24 05:30:00.0,109.051254,-2453.6533,-24.536533,false
PNB,72.45,2018-11-27 05:30:00.0,90.3,2019-03-25 05:30:00.0,138.02623,2463.7686,24.637686,false
PNB,63.7,2019-10-30 05:30:00.0,49.15,2020-02-26 05:30:00.0,156.98587,-2284.144,-22.84144,false
RELIANCE,929.4,2015-01-29 05:30:00.0,1263.8,2017-03-21 05:30:00.0,10.759629,3598.0195,35.980194,false
RELIANCE,920.3,2018-01-04 05:30:00.0,1241.65,2018-08-31 05:30:00.0,10.866022,3491.7969,34.91797,false
SBILIFE,672.4,2018-08-31 05:30:00.0,511.6,2018-09-28 05:30:00.0,14.8721,-2391.4336,-23.914335,false
SBILIFE,589.8,2018-12-17 05:30:00.0,771.25,2019-08-13 05:30:00.0,16.9549,3076.4668,30.76467,false
